statement,translation
היית לי בוקר את היית,You were my morning You were
לי אור אותך חיפשתי במקומות,I've been looking for places
אינספור זה נכתב על המים,Countless is written on the water
זה נכתב בשמיים זה נכתב,It was written in the sky It was written
על לוחות החול של ליבנו,On the sandboards of our hearts
כל ימי כל ימייך כמו,All the days of your life as
עיוור מול עינייך את תהיי,Blind in front of your eyes you will be
כל הזמן מולי לא תהיי,All the time in front of me you won't be
לי אני בורח לא מוצא,Me I run I can't find
מקלט מחפש בחושך בסוף זו,Sanctuary looking in the dark at the end of this
את אל תפני פנייך לא,Don't turn your face. No.
יהיה לי קל כשאבוא אלייך,It'll be easy when I come to you.
נגד הגורל זה נכתב על,Against fate it was written on
המים כמו אורות מנצנצים בלילה,The water like lights twinkle at night
נדלקים עם בוקר שם ידינו,Light up in the morning Where our hands
מחפשות בחושך לא נוגעות לא,Looking in the dark no touching no
נוגעות באושר זה נכתב על,It touches on happiness It is written about
המים,The Water
בסוף הלילה מהחלון כבר בוקע,"At the end of the night, the window is already hatched."
בוקר ראשון שתעברי בלעדי הולך,The first morning you pass without me goes
שקט באמת לא יודע מה,Quiet really doesn't know what
להגיד לא חושב שכדאי כי,Saying I don't think it's worth it because
את עצמך מודה שרגע הפרידה,You admit to yourself that the moment of farewell
עבר אין לאן לחזור נוסע,There is nowhere to go back to.
רחוק מתחיל כבר לשכוח את,Far away you begin to forget
מה שרצית שאזכור האש שהרסה,What you wanted me to remember The fire that destroyed
שרפה אותי פעם שורפת גשרים,Burned me once Burning bridges
מאחור זה יום שלך תלכי,In the back It's your day Go
איתו בלעדינו אל תפחדי כי,With him without us Don't be afraid because
הכאב כבר עבר נצח מילה,The pain has been spent forever
שיחד המצאנו בלי להבין כמה,Together we invented without realizing how much
מהר הוא נגמר כי את,It's over because you
עצמך מודה שרגע הפרידה עבר,Your self admits that the moment of separation has passed
אין לאן לחזור נוסע רחוק,There's nowhere to go back to. Far away.
גם כשהיא חשבה לא מצאה,Even when she thought she couldn't find
תשובה בדרך הקשה שלה זה,The answer is the hard way.
כל כך פשוט ללכת לאיבוד,So simple to get lost
כשבוכים בלילה רק בחום של,When crying at night only in the heat of
הידיים בלי מילים אפתור לך,Hands without words I will solve for you
את הסוד אם את לא,The secret if you don't
לבד אז זה כואב פחות,Alone so it hurts less
אגלה לך את הסוד שלעולם,I'll tell you the secret that will never
בעצם אין גבולות בתוכי שומר,In fact there are no boundaries within me Guard
לך סוד לבסוף את עוד,You have a secret at last You are more
תראי לראות איך נפתר פתאום,See how it was solved suddenly.
הסוד כשמש הגדולה סוד האהבה,The Secret as the Great Sun The Secret of Love
שלך התעייפה מזמן לכעוס על,Yours got tired of long ago being angry at
העולם כל יום בכתה תמיד,The world cried every day.
עזבו אותה רוצה שתאמין שרק,Leave her alone. Want her to believe that only
אני מבין מה עובר עליה,I understand what she's going through.
רק בחום של הידיים בלי,Only in the heat of hands without
מילים אפתור לה את הסוד,Words I will solve her secret
אם את לא לבד,If you are not alone
סוס מעץ מוטל בחושך סוס,A wooden horse lies in the dark A horse
מעץ מדליון ציפורים נשמו חלמו,From the tree of the medallion of birds breathed dreamed
בי ציפורים מן הדמיון כמו,Where birds from the imagination like
על אור אני הולכת עם,On the light I go with
סלים של הזיות בד קטיפה,Baskets of Delusions Velvet Fabric
אותי הלבשתי כמו שמלה לקראת,I was dressed like a dress.
כלולות אדמה שלא עזבת קרא,Include land you didn't leave Read
לי עוד עוד עוד מי,I still have more who
בוכה שם הו ענני אי,Crying there Oh clouds of island
פניך מועדות הר מול הר,You face a mountain in front of a mountain
הרי ציירתי שלל אדום של,I painted a red shard of
זיכרון בואה ים כסני עשב,Memoriam Boa Sea as grasspots
קול אדם על סף דמעות,A human voice on the verge of tears
אדמה שלא עזבת זר רדים,Land you didn't leave a Red Stranger
פתאום הנחתי פה על אדן,Suddenly I was sitting here on a ledge.
החלון מבדידות ציפור שואגת שוב,The window from lonely bird roars again
ציפור מן הדמיון אדמה שלא,A bird from the imagination A land that does not
עזבת,You left
לבשת בגדי חג עלית אל,You wore holiday clothes Elite El
המזח היום היה חם צחקת,The dock today was hot. You laughed.
אל כולם הכלבים שוטטו האיש,To them all the dogs wandered the man
צעק קרטיב הילדות בים צוחקות,Shouted the girl's popsicle in the sea laughing
לכולם חלון חדר מנוכר מלון,Everyone has a hotel room window.
בודד קר שר שר לך,Lonely cold sings to you
אני שר שר לך נשמה,I sing you a soul
שר לך סניוריטה מילים של,Sing you seorita words of
אהבה הימים שכבר עברו גופך,Love the days that have already passed your body
קטיפה לבן שר לך סניוריטה,White velvet sings you seorita
את כל פרחי הגן את,All the flowers of the garden.
לבשת בגדי חג עלית אל,You wore holiday clothes Elite El
המזח אני זוכר היה חם,The pier I remember was hot
איך את צחקת אל כולם,How did you laugh at everyone?
הכלבים שוטטו האיש צעק קרטיב,The dogs roamed the man shouted a popsicle
הילדות בים צוחקות לכולם שורקת,The girls at sea laugh at everyone whistling
רוח סוף יום אפור שתק,The wind ends a silent grey day
הים אין כלבים על החול,There are no dogs on the sand.
החם בכל יום שעובר פנייך,Warm every day that passes your face
לבנות לי יותר יותר חלון,Build me more window
חדר מנוכר מלון בודד קר,"A room alienated from a cold, lonely hotel"
שר שר לך אני שר,Sing to you I sing to you
עד שאמצא לא אפסיק לרגע,Until I find out I won't stop for a moment.
לחפש עד שאפול לא אפסיק,Looking until I fall I won't stop
לרגע לטפס כשהזמן דוהר בוחר,For a moment climb as time gallops
בחיים בא אביב מעבר לענן,Life Comes Spring Beyond the Cloud
מכאן עד עד עולם לא,From Here to Eternity
אפסיק לשכוח את הזמן עד,I'll stop forgetting time until
שאדע לא אפסיק לשמוע ללמוד,I know I won't stop learning.
עד שאמות לא אפסיק לצמוח,Until I die I won't stop growing
למרוד כשהזמן דוהר בוחר בחיים,To rebel when time gallops Choose life
בא אביב מעבר לענן מכאן,Comes spring beyond the cloud from here
עד עד עולם לא אפסיק,I will never stop
לשכוח את הזמן כי חיי,Forgetting time because my life
הם כוחי חיי הם כוחי,They are my strength My life is my strength
יום יום לילה לילה כי,Day by day Night by night
חיי הם כוחי יום לילה,My life is my night-time strength
עד עולם עד עד עולם,Forever and ever
עד נפש עד שאגשים לא,Until I do not.
אפסיק לרגע לחלום עד שאוהב,I'll stop dreaming for a moment until I love
לא אוכל עיניים לעצום כשהזמן,I won't be able to close my eyes when the time is
דוהר בוחר בחיים בא אביב,Dohr chooses life comes spring
מעבר לענן מכאן עד עד,Moving to the cloud from here to
עולם לא אפסיק לשכוח את,I will never stop forgetting you.
הזמן נה נה נה כשהזמן,Time is good when time
דוהר בוחר בחיים בא אביב,Dohr chooses life comes spring
מעבר לענן מכאן עד עד,Moving to the cloud from here to
עולם לא אפסיק לשכוח את,I will never stop forgetting you.
הזמן לא אפסיק לשכוח את,Time will not stop forgetting you.
הזמן,Time
משהו בך נזהר משהו בי,Something about you is careful. Something about me.
לא הולך עד הסוף מכה,Doesn't go all the way Blow
לב בלב כמו תוף גלוי,Heart to heart Like an open drum
נסתר בין אסור מותר הלילה,Hidden between forbidden allowed tonight
נדע הלילה עד מחר או,We'll know tonight by tomorrow or
לנצח עד מחר או לנצח,Win Until Tomorrow or Win
עד מחר או לנצח כשהלילה,Till tomorrow or win when the night
נגמר אש נשיקה תבער את,No more fire. Kiss will burn you.
הפחדים היא תאיר תשרוף כשפיך,Fears she'll brighten You'll burn your cum
את שפתי יטרוף הרגע יזהר,My lips will devour The moment will be careful
בין עתיד עבר הלילה נדע,Between the future and the past tonight we will know
הלילה עד מחר או לנצח,Tonight until tomorrow or forever
עד מחר או לנצח עד,Until tomorrow or win until
מחר או לנצח כשהלילה נגמר,Tomorrow or forever when the night is over
הלילה לא נגמר לא לא,The night is not over No no
עדיין לא נגמר הקשר עוד,The relationship is not over yet.
נשמר הלב עוד לא נשבר,The heart is not broken yet.
אני איתך נשאר הלילה לא,I'm staying with you tonight. No.
נגמר לא לא עדיין לא,No. No. Not yet.
נגמר עד מחר או לנצח,Ends tomorrow or forever.
עד מחר או לנצח עד,Until tomorrow or win until
מתי זה לנצח כשהלילה נגמר,When is it forever when the night is over?
עד מחר או לנצח הלילה,Till tomorrow or win tonight
עוד נדע עד מחר או,We'll know by tomorrow or
לנצח הלילה עוד נדע עד,Forever Tonight We'll Know Until
מתי זה לנצח כשהלילה נגמר,When is it forever when the night is over?
עד מחר או לנצח הלילה,Till tomorrow or win tonight
עוד נדע עד מחר או,We'll know by tomorrow or
לנצח הלילה עוד נדע עד,Forever Tonight We'll Know Until
מתי זה לנצח עד מתי,When is forever until when?
עד מתי עד מתי עד,Until when until when?
מחר או לנצח הלילה עוד,Tomorrow or Win Tonight More
נדע עד מחר או לנצח,We'll know by tomorrow or forever
הלילה עוד נדע עד מתי,Tonight we will know how long
זה לנצח כשהלילה נגמר,It's forever When the night is over
איש לא עוצר אותך בשער,No one stops you at the gate.
הכניסה אתה נראה מאוד מוכר,The entrance you look very familiar
כן הם זוכרים אותך מסתייגים,Yes. They remember you disapprove.
רוצים לראות אותך נשבר אל,Want to see you broken up?
תבקש דבר כי כלום לא,Ask for something because nothing is.
תקבל אתה כבר לא בעניינים,You'll get out of it.
איש לא מזמין אותך אתה,No one invites you.
כמו צל בלי כסף לא,Like a shadow without money No
תהיה בפנים הם אומרים הוא,Be inside They say he
מישהו שהיה פעם משהו הם,Someone who used to be something they
אומרים הוא מישהו שהיה פעם,They say he's someone who used to be
משהו קודם ניגשת אל שולחן,Something first came to the table.
ההימורים אתה עושה טעות מרה,Betting You're Making a Bitter Mistake
זו עיר הכסף אין בה,This is the city of money there is no
רחמים שעת הכושר כבר עברה,Mercy The Hour of Fitness Has Already Passed
הם אומרים אין נשמה בעיר,They say there is no soul in the city
הכל לפי זהב אל תחפש,All according to gold Don't look
מוצא אחר בטח אתה מכיר,Another finder. You must know.
את המצב אתה המצאת את,You invented the situation.
העיר כשהיית מיליונר הם אומרים,The city when you were a millionaire they say
בשטח בלי תועלת מצאה לה,In the field uselessly found her
לעמוד כשלא היה לאן ללכת,Standing when there was nowhere to go
לא מצאה ממי ללמוד היא,There is no one to learn from.
פשוטה יש בה עומק אומץ,It has a depth of courage.
להגיד הכל שטח בשבילה זה,To say everything is an area for her is
בית שמשתנה כמו ים כמו,A house that changes like a sea
חול בעיר שמטפטפת סקס דם,Sand in a city that drips blood sex
אלכוהול שכרה דירה קטנה של,Alcohol rented a small apartment.
חדר עבדה יותר בזול אחרי,A room worked cheaper after
תקופה בלי יום רק לילה,A time without a day Just a night
הבינה איך עוברים חיים איך,She understood how life goes on.
שזה נקבע למעלה איך שבא,That it was set up as it came
לאלוהים על במה היא עמדה,To God on what she stood
רצתה להיות אחרת רק ביקשה,"She wanted to be different, she just asked."
הזדמנות לתפוס את הרכבת עמדה,Opportunity to catch the train position
מכרה את עצמה לאור אדום,She sold herself to a red light.
תכלת עד שהיא נפלה על,until she fell on
במה עצובה אמרו שהיא זונת,What's sad? They said she was a whore.
צמרת בלי פנים עם גוף,Top without face with body
חלק ניגבה את הדמעות בלילה,Some wiped away the tears at night
כשלא נשאר כבר שום מבט,When there is no more look
בדרך מטורפת לא הפסיקה לשחק,"In a crazy way, he didn't stop playing."
טיפסה מהר מאוד למעלה נפלה,Climbed very quickly up fell
כשלא רצתה אמת על במה,When she didn't want the truth on stage
היא עמדה רצתה להיות אחרת,She stood wanting to be different
מכרה את עצמה לאור אדום,She sold herself to a red light.
תכלת חשבה שעכשיו היא גדולה,She thought it was big now.
איך היא משחקת על במה,How she plays on stage
היא גמרה באור אדום תכלת,She ended up in a blue red light.
רק ביקשה הזדמנות לתפוס את,Just asked for a chance to catch up.
הרכבת שברחה במה עצובה במה,The train that escaped What sad what
עצובה,Sad
רעם הזמן על הדלת נוקש,The thunder of time on the door knocks
זועק בלחישה הסערה בפתח שקט,Screaming in a whisper The storm in a quiet doorway
בינתיים מחלוני כל הנוף טועה,Meanwhile from my window the whole view is wrong
כמו עיוור בעיר כבושה מיתמר,Like a blind man in an occupied city of Mitmar
הכאב אל תוך השמיים יש,The pain in the sky is
עשן גם בלי אש בוערת,Smoke without a burning fire.
הוא מפחם מראות עולה הלחות,He's from a rising mirror coal The humidity
בעיני השורפות השמש כהה השנים,In the eyes of the dark sun The years
עייפות יש עשן חרב מתהפכת,Fatigue has a sword smoke turning
על כל ההזיות ערש חיי,For all my delusions my life's lullaby
השליו המוגן אבד לי מזמן,I lost my safe haven long ago.
נעלם במסך עשן מה כבר,Disappeared on a smoke screen. What?
ניתן לעשות אם בכלל כדי,It can be done at all to
למשול באדמה היא מצידה מתנערת,To rule the land is for its part repudiating
פורשת כנפיים כל הצחוקים הדם,Spreading wings All the blood laughs
הם לריק כשהנפש אטומה אך,They are empty when the soul is sealed but
כל עוד האש לא ניצתה,As long as the fire didn't ignite
יש דרך עדיין יש עשן,There's a way There's still smoke
אנשי שלומנו שואלים לשלומנו השלום,Our people ask for our peace
שאיננו הוא שלום בלהות למי,That he is not peace A terror to whom
שבעדנו קשה לראות איך עוברות,It's hard to see how it goes.
עלינו השעות עושים פנינים מדמעות,On us the hours make pearls from tears
פנינים מדמעות עושים פנינים מדמעות,Pearls from tears Make pearls from tears
פנינים מדמעות חולי ירח מחכים,Pearls from moonsick tears are waiting
לאורח הזמן בורח מתיבת ההפתעות,The time guest escapes from the box of surprises
למי שבעדנו קשה לראות איך,For those of us in favor it's hard to see how
עוברות עלינו השעות עושים פנינים,We go through the hours making pearls
מדמעות פנינים מדמעות עושים פנינים,From tears Pearls from tears Making pearls
מדמעות פנינים מדמעות גם ידידנו,From tears of pearls Our friend too
הטובים ביותר לא יצליחו תמיד,The best will not always succeed.
להזדהות עם אותה תפילה שהפחד,To identify with the same prayer that the fear
יוצר מהשפתיים מבין האצבעות היינו,Made from the lips between the fingers We were
חכמים יותר אם לא היינו,Smarter if we weren't
מחכים לאות העניינים יגעים העיניים,Waiting for the ominous signal
יגעות עושים פנינים מדמעות,Moistures make pearls from tears
איבדתי את הפנים בניתוח התדמית,I lost my face in the image analysis.
שאלתי מי אני הרופא אמר,I asked who I was The doctor said
תביט אתה לוקח מזה פעמיים,"Look, you take it twice."
ביום בבקר ירוק בערב אדום,On a green morning on a red evening
חוזר אלי לביקורת כשהם נגמרים,Come back to me for criticism when they're done.
אל תעשה פרצופים כי אז,Don't make faces because then
ייפתחו התפרים איבדתי את הצפון,The stitches will open. I've lost the north.
כשהופעת לי ממזרח ידעתי שמפה,When you appeared to me from the East I knew that map
לעולם אני לא אברח אני,I will never run away.
לוקח מזה פעמיים ביום בבוקר,Takes from it twice a morning
ירוק בערב אדם חוזר אלייך,Green in the evening A man comes back to you
כל לילה בלי פנים האמת,Every night without a face The truth
הגדולה מורכבת משקרים קטנים אני,Big is made up of little lies I
אוסף את השברים שנותרו מחלומי,Collecting the fragments left of my dream
אולי הם מתחברים אני חוזר,Maybe they're bonding. I'm coming back.
שוב לעצמי אני לוקח מזה,I take it for myself again.
פעמיים ביום בבוקר ירוק בערב,Twice a day in the morning green in the evening
אדום מביט לך בעיניים מן,Red looks you in the eye from
המסיכה העין הבוכה צוחקת הצוחקת,The mask The crying eye Laughs the laughing
בוכה פעמיים ביום פעמיים ביום,Crying twice a day twice a day
אני לוקח מזה פעמיים ביום,I take from it twice a day
כמו ניצן בוקע רגב כך,Like a bud hatching a clove like this
הגעת לעולם מרקד על הר,You came to the world dancing on a mountain
השגב צוחק פה על כולם,I laugh at everyone here.
מין טיפוס כזה שמח לא,Kind of a happy guy. No.
שמע על העצבות מנגן בלב,Hear of the sadness playing in the heart
בוטח מבסוט אי אפשר לצעוק,Confidently happy You can't yell
אפילו אי אפשר לומר מילה,You can't even say a word
כי פרחים כמוך ארז יותר,Because flowers like you packed more
כבר לא נדע אי אפשר,We'll never know. We can't.
לשתוק אפילו אי אפשר ללחוש,Silence can't even be whispered
תפילה כי פרחים כמוך ארז,Pray that flowers like you packed
לא נדע אהבוך בנות החמד,We won't know your love. The precious girls.
אהבוך החיים שבגדו בך הו,Love the life that betrayed you Oh
ילד בכל האוהבים איך אפשר,A Child in All Lovers How Can
לכתוב עליך מה בכלל נשאר,Write about what is left.
לומר כשבארץ המובטחת גם בוכים,To say when in the Promised Land also cries
פרחי הבר אי אפשר לצעוק,Wildflowers can't be shouted
אפילו,Even
רכבת אחרונה יוצאת טראנס אטלנטית,Last train leaves Atlantic Trans
ארוכה ברלין שקטה נהר נוצץ,Long Berlin Quiet Shining River
פריז עדיין רחוקה בחלון האור,Paris is far away in the window of light.
עורפל מקור בתמונה קטנה את,The vague source in a small picture you
בשיער שחור רעש של קטר,Black hair The noise of a locomotive
קו המעבר השארתי את גרמניה,The crossing line. I left Germany.
מאחור נוסע מחפש תשובות בין,From behind a passenger looking for answers between
השבילים נוגע את היית הכי,The paths touch You were the most
יפה בין המילים הרגתי כבר,Beautiful between the words I've killed already
את כל שומרייך בת מלכה,All Your Guardians the Queen's Daughter
ארקוד איתך צמוד את העומדת,I'll dance with you Tight the standing
רחוקה בחלון האור אורפל מקור,Far Away in the Light Window Orpel Source
הבוקר בצרפת שחור בסמטת רחוב,Morning in France Black Street Alley
את בוודאי הולכת לבושה במעיל,You're probably going in a coat.
צווארון אפור נוסע מחפש תשובות,Grey Collar Traveler Seeks Answers
בין השבילים ברחוב שקט צרפתי,Between the trails on a quiet French street
אני הולך מהר הרי את,I'm going fast.
שם אסור לי לאחר מעילך,I'm not allowed there after your coat
נשאר אפור השיער כבר לא,The grey hair is no more.
שחור גם אני נראה עייף,Black. I look tired too.
יותר זקן יותר נושף מבט,Older is watching.
קצר צועדים פתאום רצים רוקדים,Short Marching Suddenly Runners Dancing
את שנות פריז ברלין נוסע,The years of Paris Berlin travel
מחפש תשובות בין השבילים המסילה,Looking for answers between the tracks
הפכה להיות צלילים דרך לילה,Became sounds through the night
לא נגמר פריז ברלין המסילה,Never Ending Paris Berlin Track
הפכה להיות צלילים דרך בוקר,Became sounds through the morning
אדמדם פריז ברלין פריז ברלין,Reddish Paris Berlin Paris Berlin
פריז ברלין רכבת אחרונה יוצאת,Paris Berlin final train departing
מתקרב הזמן בו אהיה מוכן,There's a time coming when I'll be ready
להתחיל מחדש אולי זה עניין,Start over. Maybe that's a thing.
נלמד להתעורר לבד אך לפעמים,We learn to wake up alone but sometimes
זה גדול גם עלי אני,It's big on me too.
מודה שכבר לא אהיה מי,I will no longer be who I am.
שפעם חלמתי להיות אם בנפשי,I once dreamed of being a mother in my soul.
לא אהיה חופשי אז נאמן,I won't be free then faithful
לעצמי לפחות קחי אותי מאלפי,At least take me away from Alfie.
שקרים מתשוקות כוזבות מנבכי עצמי,Lies from false desires from self-inflicted
מקרבות בהם אני מזמן חסר,From battles I have long been missing
אונים קחי אותי ממשחק אבוד,Help Take Me from a Lost Game
את רואה אני כולי שלך,"See, I'm all yours."
מתמסר עיוור עכשיו פשוט אוהב,Blind devotee now just like
אותך ברחובות כבר סתיו רוצה,You're on the streets already Fall wants
עכשיו את הראש על ברכייך,Now your head on your knees
לשים כי העיר הזאת שכולה,Put that whole city
ענן משאירה אותי על הקרשים,A cloud keeps me on the boards.
קחי אותי מאלפי שקרים כן,Take me away from a thousand lies Yes
אז בואי קחי אותי מאלפי,Then come get me from Alfie.
שקרים מתשוקות כוזבות מנבכי עצמי,Lies from false desires from self-inflicted
מקרבות בהם אני מזמן חסר,From battles I have long been missing
אונים,Helpful
קניתי קצת פרחים כי ראיתי,I bought some flowers because I saw
ברחוב ידעתי שאתה אוהב בישלתי,In the street I knew you liked cooking
קצת מרק כזה עם החריף,A little soup like that with the spicy
תיארתי שתחזור רעב ברגעים קטנים,I thought you'd come back hungry in small moments.
שלנו כשהמרחק כואב ברגעים כאלה,Ours when the distance hurts in moments like this
איש אני תמיד חושב לבשתי,Man I always think I wore
את החולצה שקנית לי בפראג,The shirt you bought me in Prague
כיס ימין שחור עליו תפור,Black right pocket on it sewn
בבורדו לב קצת מסוכריות הגומי,In Bordeaux a heart Some of the rubber candy
שיהיה לך מתוק כי הבוקר,May you have a sweet because this morning
עזבת קצת כואב ברגעים קטנים,You left a little sore in the small moments
שלנו רוחות תחילת דצמבר שוב,Our Winds Early December Again
נושבות במטבח דרך חלון פתוח,Blowing in the kitchen through an open window
אני מסתכל אם אתה חוזר,I'm looking if you're coming back.
מנסה להיראות בטוח ריח הפרחים,Trying to look safe The smell of flowers
מכסה כל פינה בריח סתיו,Covers every corner with autumn scent
אנחנו מדברים הרבה על אושר,We talk a lot about happiness.
על כמה ריק בלעדיו ברגעים,On how empty without him in moments
קטנים כמו אלה כשהמרחק כואב,Small ones like these when the distance hurts
ברגעים כאלה איש אני תמיד,"In moments like this, man, I always"
חושב שבסמטת חיינו הקטנה איפה,Thinks in the alley of our little life where
שתמיד נושבת בנו רוח ישנו,That always blows in us A sleeping wind
ספסל אחד ישן עליו נוכל,One old bench on which we could
תמיד לנוח ברגעים קטנים שלנו,Always rest in our little moments
כשהמרחק כואב ברגעים כאלה איש,When the distance hurts in such moments a man
אני תמיד אוהב,I will always love
ריח ים עיניים עצומות הייתי,The smell of sea eyes closed I was
פותח אם היה מה לראות,Opened if there was anything to see
צוואר מזיע שפתיים שורפות שיער,Neck Sweating Lips Burning Hair
אסוף ריח ים של גוף,Collect Sea Smell of Body
העיר שקטה הרחובות בוערים הייתי,The city is quiet The streets are burning I was
יוצא לרקוד איתך אלס את,Going out to dance with you Els
ישנה אהובה על כרית מחר,There's a favorite on a pillow tomorrow
ילדה נלך לקרקס שהגיע לעיר,Girl goes to the circus that came to town
לא אגש לא אפר שתיקתך,I won't go I won't burn your silence
העיר נטושה הגן שלך ריק,Abandoned City Your Garden is Empty
איך צווארך מזיע איך שפתייך,How your neck sweats How your lips
שורפות רוך שיערך האסוף ריח,Burn the softness of your hair Collect a smell
דם של גוף העיר שקטה,The blood of the city's body is silent
הרחובות בוערים,Streets are Burning
רק נשארת הרגשת ניתוק מעבר,Just left feeling a disconnection beyond
לכתף מסביר חצי פנים לבוקר,The shoulder explains half-face to morning
שסוגר מעגל עקשן במציאות מפסיק,Closing a Stubborn Circle in Reality Stops
להישרף בין התגובות האקורדים משתנה,Burn Between Reactions The chords change
אולי זה לא מספיק להתמכר,Maybe it's not enough to indulge
לראות אחרת מפחיד כל כך,Seeing otherwise is so frightening.
לצאת אם המרחק שפוי למדנו,Get out if the distance is sane We learned
להדחיק את הפחדים עמוק בשקט,Repress the fears deeply in silence
מספיד את הלילות שבוי שלך,Speeding up your captive nights
של הגוף רגשי אשמה חלק,Body's Guilt Feelings Part
לא שלי המשיכו לשחק עם,No. Mine kept playing with
השעות שאת מכרת מזמן שותק,The hours you sold have long been silent.
עכשיו בשקט המצפון מחביא אל,Now quietly the conscience hides to
תתני לי לצאת להתמסר לעוד,Let me go out and commit to more.
ריקוד פראי אולי זה לא,Wild dance maybe it isn't
מספיק להתמכר לראות אחרת מפחיד,Enough to indulge in seeing another scary
כל כך לצאת אם יש,So get out if there is
מרחק שפוי שום דבר כבר,A sane distance. Nothing anymore.
לא צפוי שבוי שלך של,Unpredictable Your Prisoner's
הגוף כשלא היתה ברירה עוזב,The body when there was no choice leaves
אותך שב לגוף כשלא יכולתי,You go back to the body when I couldn't.
להחליט אל דרך לא ברורה,Decide on an unclear path
אני יודע את שותקת נוגעת,I know you're silent Touching
בי מתרחקת,B stands back.
אז מי היה צודק מי,So who was right who
אשם זאת סתם אדמת טרשים,Guilty. It's just rocky ground.
שאין לה שם זאת לא,It has no name It is not
התחנה אין כאן איש סתם,The station has no one here.
חללית זרה לצד הכביש בכל,An alien spacecraft on the side of the road at all
זאת מי מפסיד מי נשכר,It's who loses Who gets hired
זה סתם אבק דרכים חום,It's just brown road dust.
אפרפר זאת לא היד שלך,It's not your hand.
זה לא היד סתם יד,It's not just a hand.
נגעה קלות בהזייה איך פרידה,Little touched by the delusion of how to part
אחת כמו אלפי פרידות בתופים,One like thousands of breakups in the drums
הולמת ברקות איך שקיעה אחת,Holm Shines How One Sunset
כמו אלפי שקיעות אש כתומה,Like thousands of orange fire sunsets
שולחת בשדות אז מה היה,Sending in the fields So what was
בערפל מה מובן זאת לא,In the mist what is understood is not
ההצטלבות זה לא הזמן זה,The crossing is not the time.
לא אויר שיכור של סוף,Not the drunken air of the end
היום סתם רוח שנשבה לשום,Today it's just a wind blowing to none.
מקום,Place
בזוית השפתיים סיגריה כבויה בשלוש,At the angle of the lips Cigarette off at three
לפנות בוקר נוהגת שתויה בכורסא,Early in the morning driving drunk in an armchair
עמוקה מנומנמת מעט בגרביים שונות,Deep sleepy little in different socks
תפוח ביד בגלויית תיירים בסרט,Apple in hand in a tourist postcard in the film
ישן רוצה אותך בצבע בשחור,Old Wants You in Black
לבן את כועסת מזמן לא,White. You've been angry for a long time. No.
אומרת על מה ביני לבינך,Say what's between you and me.
עדשת מצלמה בעיניים שלך נח,A camera lens in your eyes rests
עלבון ילדותי אילם מבט ארוך,Silent childish insult A long look
אליי מצלם מסתירה מאחורי משקפיים,The cameraman hides behind glasses.
כהים עייפות של לילות עצבות,Dark tiredness of sad nights
של ימים שפתיים פקוחות כמו,Of open lips days like
שולחות בלחישה חיוך חצי מופקר,Sending in a whisper a half-slut smile
אל תוך העדשה את כועסת,Into the lens You're angry
מזמן מצלם מתלהב כמו ילד,Long time avid photographer like a child
קטן ממציא אותך בצבע בשחור,Little invents you in black color
לבן את כועסת מזמן,White. You're angry a long time ago.
כשהייתי קטן כבר חלמתי עתיד,"When I was little, I dreamed of a future."
בו אני רק אומן משחר,Where I'm just an artist from dawn
כל תפקיד העולם מצטייר כמו,The whole role of the world is portrayed as
תפוח גדול כל אדם בו,Big apple Every man in it
חבר אני כל יכול ההורים,A friend I can all parents
אז אמרו תגיד חמוד קדימה,"So say say ""cute."" Go ahead."
את מי אתה אוהב יותר,Who do you love more?
את אבא או את אמא,You're a father or a mother.
אז חשבתי היססתי עצמתי את,So I thought I hesitated myself off
עיניי פעם ראשונה פספסתי את,The first time I missed it.
תפקיד חיי טו טו טו,The Role of Tuo Tuo Life
טו איי איי איי איי,Tu AA AA
בגיל ההתבגרות התאהבתי בנסיכה הפעלנו,"Growing up, I fell in love with the princess. We operated."
זה על זו את כוחות,It's about each other's powers
המשיכה אז ניהלנו דיאלוג מתחבק,Then we had an embrace dialogue.
מתנשק היה נעים לחגוג את,Kissing was pleasant to celebrate.
כל מה שמתחשק שאלה אתה,Whatever you want is a question.
אוהב עניתי כן מיד אתה,Like I answered yes right away you
אמרה חושב שתאהב אותי לעד,Said thinks you'll love me forever
אז חשבתי היססתי עצמתי את,So I thought I hesitated myself off
עיניי ככה שוב פספסתי את,My eyes are like that again. I missed you.
תפקיד חיי נשאלתי כמו כולם,The role of my life was asked like everyone else.
בשעה היעודה התשבע שלעולם לא,At the appointed hour he swore never
תסרב פקודה אז חשבתי היססתי,Refuse an order so I thought I hesitated
עצמתי את עייני ככה שוב,I closed my eyes like that again.
פספסתי את תפקיד חיי יום,I missed the role of daily life.
אחד נבהלתי שמדעתי אני אצא,One I was scared of knowing I'd come out
את עצמי שאלתי מה באמת,I asked myself what was really
אני רוצה אז חשבתי היססתי,I want to So I thought I hesitated
עצמתי את עיני שוב שוב,I closed my eyes again.
פספסתי את תפקיד חיי,I missed the role of my life.
שנינו באותה שפה אתה לא,We're both in the same language you're not
מבין מה אני רוצה גם,I know what I want too.
אם תשף מוכר אין מתכון,If a familiar chef does not have a recipe
לכל דבר למה תעושה מזה,Why would you make of it?
עניין זה כמו אש מים,It's like water fire.
אתה מצית לי את הלב,You set my heart on fire.
אני מכבה את הכאב כל,I turn off all the pain
הראש שלי מסתובב אז מה,My head is spinning. So what?
אתה רוצה תגיד לי אתה,You want to tell me
