sentence,label
ב-18 בספטמבר 2010 החליטה קבוצה,של
ב-1 ביוני 2011 יצאה הגרסה,הראשונה.
הפצה זו עדיין מבוססת על,גרסה
התקנת התוכנה נעשית דרך אתר,המחזיק
"ניתן לבצע את ההתקנה בעברית,",על
"במקביל לגרסת מנדריבה 2006, משתמשים",ישראלים
"התקליטור של ""אחד"" הכיל גם",חלק
אתר הפרויקט מציע מבחר מדריכים,"מצולמים,"
מנדריבה הקדישה תשומת לב לתמיכה,במגוון
בתחילת שנות ה-2000 הייתה זו,הפצת
בשנת 2004 נוצרה גרסה ישראלית,בשם
"בלי קשר לכך, שנה לאחר",מכן
בסוף שנת 2007 נפתחה נציגות,רשמית
240px מטאורולוגיה הוא מדע העוסק,בחקר
תופעה מטאורולוגית היא אירועי מזג,אוויר
תופעות אלו הן תוצאה של,אינטראקציה
אריסטו ההיסטוריה של המטאורולוגיה מתבטאת,"בתגליות,"
מאז ומתמיד האדם התעניין בסובב,אותו
"למשל, האדם הסביר את הגשמים","כברכה,"
כאשר הפילוסופיה החלה להתפתח הסביר,האדם
אריסטו הסביר שהעולם מורכב מארבעה,יסודות:
"כך לדוגמה, הסביר אריסטו, שהשמש",מחממת
על פי רעיונות היסודות הסביר,אריסטו
על פיו הרעם הוא רעש,שנוצר
למרות הידע המצוי בידי האנושות,"כיום,"
ישנם מספר קטן של רעיונות,שבדיעבד
למשל אריסטו הסביר שכאשר השמים,בצבע
קיימים רעיונות אחרים של אריסטו,אשר
"(מפת 500 מ""ב + קרקע)",סקרנותו
כל הגילויים האלו הביאו להתפחות,מדע
בעזרת חיזוי מזג האוויר ניתן,לדעת
משחר ההיסטוריה האדם עסק בניסיון,לחזות
על פי מזג האוויר החקלאים,יודעים
מתי הם יכולים לצאת למסעות,צייד
"לכן, חברות פרימיטיביות פיתחו לעצמן",דרכים
"לדוגמה, באמצעות צפייה בעכבישים ניתן",לזהות
כאשר הסנוניות עפות בגובה רב,מהרגיל
הסמנים לחיזוי מזג האוויר משתנים,ממקום
עבור בני האבאסאבו (דייגים) מערבולות,מעל
"מדע המטאורולוגיה ממשיך להתפתח, מגמה",שנמשכה
החיזוי המודרני מתבסס על נתונים,הנאספים
פלט עיבוד הנתונים מוצג בתור,מפה
כיום ניתן למצוא ברשת מספר,מודלים
המפה הסינופטית המודרנית (תמונה מצורפת),מציגה
הגלים הקעורים (צורת U) מעודדים,היווצרות
במפה המצורפת ניתן לראות כי,ישראל
ההתפתחות הטכנולוגית האחרונה שיפרה בצורה,דרסטית
אם עד לפני שנים בודדות,התחזית
"נראה כי כמו מדעים אחרים,",גם
ניתן לראות זאת לדוגמה בהמצאת,"הלווין,"
המצאה זו משמשת כיום כפלטפורמה,לאמצעי
"עם כל זאת, ככל הנראה,",האנושות
בהקשר זה מאוזכרת תכופות תאוריית,אפקט
מטאורולגיה על ידי כדורים פורחים,ותמונות
גורמים רבים אשר קובעים את,מזג
"במאה ה-19, התחילו לבצע מדידות",מטאורולוגיות
על כדורים אלו הוצבו מדי,"לחץ,"
"מטאורולוגיה, קלימטולוגיה, ופיזיקה אטמוספירית הם",תתי
מקור שם התחום היא בתאוריה,של
מי הגשם היו בעבר חלק,ממקווי
"כדור הארץ מכונה ""כוכב הלכת","הכחול"""
לים השפעה עצומה על מזג,האוויר
הים מוליך חום וקור בעזרת,זרמי
"נוסף על כך, הים הוא",המקור
סקרנות האדם הביאה אותו לים,כבר
לפני כעשרים אלף שנים היו,ברשות
"יתר על כן, לפני כעשרת",אלפים
לפני שלושת אלפים וארבע מאות,שנה
כבר במאה ה-7 הקיפו הפיניקים,את
"כמו כן, הוויקינגים גילו את",אמריקה
התפתחות רבה בחקר האוקיינוסים החלה,במלחמת
מידע רב על זרמי האוקיינוסים,נאסף
כמו שהאטמוספירה עצמה אינה אחידה,בטמפרטורה
עקב התחממות בלתי אחידה של,כדור
השכבות העליונות של האוקיינוסים מתחממות,ונעות
בדרכן מתקררות השכבות ושוקעות וכך,חוזרות
"דף כ""ה במסכת בבא בבתרא",עוסק
גם בנושא המשקעים יש לתלמוד,מה
עוד עוסקת שם הגמרא במעלתם,של
שם מנו של היורה וזמנו,של
שם יזה זמן ביום עדיף,לירידת
שם ל סימנים לבוא הגשם,וסימנים
"שם, מהיכן מגיעים הגשמים,וראה מסכת",עירובין
גם בשאר תופעות מטראוגליות דן,"התלמוד,"
מודל ה־OSI (קיצור של: Open,Systems
"המודל מתייחס לחומרה, לתוכנה ולשידור",וקליטת
המודל נוצר על ידי ארגון,התקינה
למרות שהמודל נוצר בעבור רשתות,"מחשבים,"
בתחילת שנות השמונים חברות וארגונים,רבים
עבודה משותפת בין מספר משתתפים,-
נעשה על ידי שמירת העבודה,במאגר
שימוש בתוכנה בקרב מספר משתתפים,-
שימוש בתוכנות אשר מיועדות לעבודה,ברשת
מאפשר תקשורת מהירה יותר בין,חברי
יכולת אחסון וגיבוי מהיר יותר,של
הדבר הוביל להקמתן של רשתות,חדשות
עם התפשטותן של הרשתות השונות,החלו
"בעקבות הקשיים, עלתה הקריאה לקביעתו",של
את התקן פרסם ארגון התקינה,הבינלאומי
"התקן עודכן בשנת 1994, וזוהי",המהדורה
התפקיד של כל שכבה הוא,לטפל
הטיפול בכל שכבה כולל ניתוח,וסיווג
"לאחר שהנתונים הגיעו לצד השני,",יש
על מנת ששני הצדדים יוכלו,לתקשר
להלן טבלה המציגה את השכבות,השונות
# שם בעברית תפקיד פרוטוקולים,7
"בצד הקולט, כל הפעולות מתבצעות",בכיוון
נתונים שעוברים ברשת עוברים תהליך,של
במהלך שלבי העטיפה נהוג לכנות,את
בשלוש השכבות העליונות הפרוטוקולים השונים,מוסיפים
בשכבת התעבורה הנתונים מחולקים למקטעים,(Segments)
בשכבת הרשת כל מקטע מחולק,לחבילות
בשכבת ה-Data Link לכל חבילה,מוצמדת
השכבה הפיזית עוסקת רק בייצוג,הבינארי
שכבה מצב הנתונים Application רצף,נתונים
Presentation Session Transport מקטעים תמונה:encapsulation_l.gif,Network
"טוקס הפינגווין, דמותג לינוקס לינוקס",היא
GNU זהו פרויקט של מערכת,הפעלה
מערכות ההפעלה הן בעלות קוד,פתוח
הדמותג הרשמי של מערכות הפעלה,לינוקס
דוגמאות למערכות הפעלה מבוססות ליבת,לינוקס:
מערכות הפעלה אלו הם בדרך,כלל
הסימן המסחרי Linux (שמספרו 1916230),שייך
למערכת גנו\\לינוקס יש הפצות (distributions),"רבות,"
כל אחת מהן עשויה לכלול,מספר
בסיס כל הפצה כזו הוא,גרעין
מאחר שתוכנות אלה (שבלעדיהן המערכת,לא
"יש מי שמקפידים, האחרים פשוט",קוראים
מערכות ההפעלה כוללות כמעט תמיד,את
"משתמשי לינוקס, שבעבר נאלצו להתקין",ולהתאים
לאחר שאימצו את לינוקס מספר,יצרניות
לינוקס משמשת גם במערכות משובצות,מחשב.
העלות הנמוכה יחסית שלה מאפשרת,לעשות
פרויקט OLPC שמטרתו להנגיש מחשבים,לילדים
סביבות עבודה גרפיות כמו KDE,ו-GNOME
לינוקס נפוצה בעיקר אצל משתמשים,מקצועיים
"לפי נתוני אתר Google ל-2003,",רק
לפי חברת IDC בשנת 2003,השתמשו
מחקר שנערך על קוד המקור,של
באמצעות חישוב העלות בסיוע מודל,COCOMO
"עלות הפיתוח, במושגים של חברות",קנייניות
רוב הקוד פותח בשפת C,אבל
קצת יותר ממחצית הקוד זמינה,בכפוף
לינוקס עצמה מכילה 2.4 מיליון,שורות
"אידאולוגיה, מחלוקת והיסטוריה מאחורי השם",גנו/לינוקס.
"בשם ""GNU/Linux"" עשו שימוש לראשונה",Debian
בדיוור של פרויקט GNU מיוני,1994
בדיוור מינואר 1995 ההתייחסות אל,לינוקס
במאי 1996 שיחרר ריצ'רד סטולמן,את
הוא טען שיש לתת את,הקרדיט
לאחר מכן הפסיק סטולמן להשתמש,במונח
יש המכנים את המכלול כולו,בשם
"הבחירה בשם הכולל את ""גנו""",באה
ליבת מערכת ההפעלה שהייתה אמורה,לתפקד
"מערכת הפעלה זו מתוכננת כמיקרו-ליבה,",דהיינו
מערכת כזו קשה יותר להביא,לכלל
בשלב זה השימוש בכלים של,גנו
בשנת 1991 פרסם סטודנט צעיר,מאוניברסיטת
הפרסום היה בקבוצת הדיון comp.os.minix,ברשת
"לפי המכתב שהופץ, התכנה ""לעולם",לא
"לאור היסטוריה זו, מקפידים רבים",מאנשי
עמדת המוסד לתוכנה חופשית היא,כי
עקרונות אלו מכילים מטען פילוסופי,חשוב
ה-FSF חוששת כי ההימנעות מציון,GNU
כל זאת למרות שאנשי התנועה,מודעים
מנגד עומדים אלו המכנים את,מערכת
עדת המתנגדים מעלה לרוב את,הטיעון
אם המשתמש בוחר למשל בעורך,הטקסט
בכך תוכח הטענה כי ניתן,להריץ
מכאן מסיקים אנשים אלה כי,ההתעקשות
"ברם, זו אינה רק שאלה",של
ראוי גם לציין כי קוד,המקור
הוויכוח הניטש מוצג לעתים קרובות,כמלחמת
"ריצ'רד סטולמן, אידאולוג אך גם",איש
כיום מקפידים פרויקטים כגון דביאן,להמשיך
מודל שכבתי הוא שיטה המשמשת,בהנדסה
"בכל רובד נפתרת תת-בעיה ספציפית,",ואוסף
"למודל שכבתי יש מספר יתרונות,",ביניהם:.
"ניתן להאיץ את הפיתוח, משום",שהרבדים
"לעתים קרובות, מודל שכבתי מאפשר",להבין
מודל שכבתי מאפשר התמקצעות של,העובדים
חלוקת התוכנה ליישום מחשב ולמערכת,"הפעלה,"
זיכרון לקריאה בלבד (מאנגלית: Read-only,"Memory,"
שבבים אלה אינם ניתנים לכתיבה,חוזרת
"בניגוד ל-RAM, תוכן ה-ROM נשמר",גם
הגישה ל-ROM פשוטה יותר ומהירה,בהרבה
בעבר שימש ה-ROM לאיכסון מערכת,ההפעלה
בהמשך נותרו ל-ROM מספר תפקידים,עיקריים:.
תוכנת איתחול (Boot): תוכנה שמטרתה,לבצע
BIOS - אוסף רוטינות אשר,תומכות
צריבה של תוכנה קבועה על,רכיבים
"כיום, יותר ויותר פעולות במחשב",שמולאו
במערכת ההפעלה אנדרואיד ה-ROM מאחסן,את
צריבת ROM לא תקינה גורמת,למכשיר
כדי לצאת ממצב בריק יש,להיכנס
"במקרים מסוימים, לא ניתן להיכנס",למצב
"מצב זה נקרא בריק מלא,",ומחייב
"למכשירי Samsung שמריצים אנדרואיד, קיים",כלי
פייתון (באנגלית: Python) היא שפת,תכנות
פייתון תוכננה תוך שימת דגש,על
אחד המאפיינים הבולטים בתחביר השפה,הוא
"פייתון היא שפה מרובת-פרדיגמות, המאפשרת",תכנות
"לשפה ספרייה סטנדרטית גדולה וענפה,",והיא
"שם השפה ""פייתון"" נבחר כמחווה",לחבורה
השפה נוצרה על ידי גואידו,ואן
"מאז השתנתה השפה בצורה משמעותית,",וגם
השפה תומכת באופן מובנה בעדכון,"גרסאות,"
"עם זאת, גרסה 3 של",פייתון
זכויות היוצרים על גרסאות פייתון,החל
פייתון פותחה מתוך רצון להגיע,לשפה
"לנגד עיניהם של מפתחי השפה,",עמדה
בין הכללים על פיהם מתוכננת,השפה:.
"צריכה להיות דרך אחת, ועדיף",אחת
כולנו אנשים בוגרים כאן -,"כלומר,"
שפת פייתון ממומשת לרוב כשפה,"מפורשת,"
תכונה זו מאפשרת לפתח יישומי,פייתון
"בפועל, המפרש של השפה מבצע",הידור
"כתוצאה מההידור החלקי, ניתן לקבל",הערות
"כמו כל שפה מפורשת, יש",להתקין
"עם זאת, קיימים יישומים המאפשרים",את
המפרש של פייתון תומך במצב,פיתוח
מצב זה מאפשר לראות במהירות,מה
פייתון היא שפה שתומכת בשימוש,במספר
"ניתן לכתוב קוד מונחה עצמים,",פרוצדורלי
תכנות גנרי נתמך בשפה באופן,"טריוויאלי,"
פייתון מאפשרת ואף מעודדת התבוננות-פנימה,"(Reflection),"
"פינוי הזיכרון מבוצע בצורה אוטומטית,",על
"אובייקטים מוקצים על גבי הערימה,",כאשר
שני מנגנונים נוספים הם List,Comprehension
בשפות רבות אין משמעות תכנות,להזחה
"בפייתון, המבנה של בלוקים של",קוד
תכונה זו מיועדת לשפר את,קריאות
"לבלוקים של קוד - בלולאות,","מחלקות,"
תנאים בפקודות תנאי ולולאות נכתבים,ללא
פקודות מופרדות לרוב על ידי,מעבר
שימוש בתו ';' (נקודה ופסיק),להפרדה
מערכת הטיפוסים בפייתון היא בעלת,המאפיינים
חזקה: לא ניתן להפעיל על,משתנה
"לדוגמה, ניסיון לבצע פעולת חזקה",בין
"דינמית: הערכים בשפה, ולא המשתנים","בשפה,"
כל משתנה בשפה יכול להצביע,על
"כאשר מגדירים פונקציה, אין הגבלה",על
ייתכן שבקריאה אחת יועבר מספר,"שלם,"
"הטיפוסיות היא ""טיפוסיות ברווז"" (Duck","Typing),"
אם יש צורך לוודא כי,משתנה
מובלעת: אין הכרזה על קיום,משתנים.
שם של משתנה מוגדר אם,הוא
מאפיין זה מאפשר גמישות רבה,בכתיבת
סמנטיקת התייחסות (Reference): משתנים הם,שמות
כאשר מתבצעת פעולת השמה בין,משתנים
"במקום זה, המשתנה x מוגדר",כך
פרמטרים לפונקציות מועברים על ידי,העתקה
"טכנית זו ""קריאה על ידי","ערך"""
פונקציות בשפה אינן יכולות לגרום,לשנות
טווח הכרה סטטי (או לקסיקלי):,שם
"למשל, משתנה בשם x המוגדר",בתוך
השפה תומכת במגוון גדול יחסית,של
טיפוס הנתונים int מאכסן מספר,שלם.
בגרסה 3.0 אוחד טיפוס זה,אל
טיפוס הנתונים נקודה צפה (float),מאפשר
טיפוס זה זהה לטיפוס double,בשפת
"בנוסף, ניתן לייבא את המודול",decimal
מספר מרוכב גם הוא נתמך,בפייתון
טיפוס זה נוסף לשפה בשל,השימוש
ישנה תמיכה מובנית במחרוזות -,str.
מחרוזת לא נחשבת לטיפוס סדרתי,(ראה
"עם זאת, ניתן לגשת אל",כל
"המחרוזות הבסיסיות הן בתקן ASCII,",אך
ניתן לכתוב מחרוזות הן בעזרת,גרשיים
אין כל הבדל בין צורות,"אלו,"
מחרוזות הנכתבות בין שלושה גרשיים,רצופים
ערכיהם של מספרים ומחרוזות הם,בלתי
בשפה מוגדרים שני טיפוסים סדרתיים:,tuple
הטיפוס tuple הוא ייצוג ממוחשב,של
טיפוס זה מקל על דימוי,של
גם אובייקט מטיפוס זה איננו,ניתן
המקבילה למערך בפייתון היא הרשימה,(list).
טיפוס זה הוא למעשה מערך,שגודלו
"רשימה תוגדר בין סוגריים מרובעים,",לדוגמה
"בשל כך, לא ניתן להשתמש",ברשימות
"המילון (dict), הנקרא לעתים ""מערך","אסוציאטיבי"""
כל מילון כולל קבוצה של,זוגות
הקבוצה (set) היא אוסף של,איברים
קבוצה ומילון הם טיפוסים הניתנים,"לשינוי,"
פעולת הגישה לאיברים במילון ובקבוצה,ממומשת
החל מהגרסאות האחרונות של השפה,אוחדו
רוב מבני הבקרה הנפוצים נתמכים,"בפייתון,"
"בדומה לרוב שפות התכנות, פייתון",איננה
כמו בכל שפת תכנות אימפרטיבית,(מבוססת
אין בפייתון מבנה switch כמו,בשפות
דוגמה לתחביר של פקודת תנאי,הבודקת
בפקודה זו ניתן לראות את,היתרון
"זאת בניגוד לשפות כמו C,","C++,"
מוקש אחר שאיננו קיים בשפה,הוא
"בפייתון פעולת השמה היא פקודה,","Statement,"
פייתון לא תומכת בבורר מרובה,כניסות
ללא המילה elif היה צורך,לבצע
"בניגוד לשפות רבות אחרות, לפקודה",else
"עם הזמן, לאור דרישה של",מתכנתים
ערכו של ביטוי כזה תלוי,בערך
"דוגמה לשימוש באופרטור הזה, השקולה",לדוגמה
"לפני שהוסף האופרטור הזה, השתמשו",מתכנתים
כך ניתן לכתוב ביטוי הדומה,לביטוי
למשל הדוגמה הקודמת תיכתב print(x%2,==
"קיומה של הטכניקה הזאת, יחד",עם
בלולאת while מחושב ערכו של,"ביטוי,"
דוגמה לתוכנית השואלת את המשתמש,האם
ניתן היה לוותר על השורה,הראשונה
"עם זאת, אין בשפה מבנה",בקרה
אפשר לדמות את מבנה הבקרה,הזה
"למימוש כזה יש חסרונות, שכן",לאחר
מבנה נוסף ועיקרי בשפה הוא,לולאת
"בלולאה זו מוגדר משתנה, ומתקבלת",רשימה
המשתנה מקבל בכל מחזור את,ערכו
מבנה זה אינו דומה ללולאת,for
על מנת לבצע פקודה מספר,פעמים
דוגמה לשימוש בלולאת for להדפסת,ריבועי
הלולאה משתמשת במתודה __next__ המוגדרת,על
"כאשר מגיעים לאיבר האחרון, הקריאה",הבאה
החריגה הזאת נלכדת באופן שקט,על
פקודת else לאחר לולאות מגדירה,רצף
להפסקת ביצוע לולאה בנקודה ספציפית,ניתן
הפקודה continue מסיימת את המחזור,הנוכחי
"בנוסף, מתוך פונקציה ניתן להשתמש",בפקודה
לא ניתן לסיים באמצעות return,את
"במקרה שתוכנית נתקלת בסיטואציה חריגה,",על
"החריגה הנזרקת היא אובייקט, שיילכד",במעלה
אם חריגה לא נלכדת על,ידי
התחביר של לכידת חריגות הוא,מהצורה
"בפייתון כל שגיאה היא חריגה,",וכל
"החל מגרסה 3.0, שגיאות המוגדרות",על
הפונקציות והשיטות בשפה הנן אובייקטים,לכל
ישנם 7 סוגים של עצמים,ברי-קריאה
אלה נכתבו בשפת האם של,המפרש
"פונקציות המוגדרות על ידי המשתמש,",נכתבות
"שיטות המוגדרות על ידי המשתמש,",נכתבות
"כל השיטות בפייתון הן סטטיות,",אך
"(מקובל לקרוא לו self, המקביל",לthis
ביטויי למבדא - בעצם פונקציות,אנונימיות
מחלקות - כל מחלקה בפייתון,היא
כל אובייקט שהוגדרה עבורו השיטה,"__call__,"
"בדומה למרבית שפות התכנות הפרוצדורליות,",ניתן
בשל היותה שפה בעלת טיפוסיות,"דינמית,"
פונקציה מוגדרת באמצעות המילה השמורה,"def,"
לאחר אלה מופיע גוף הפונקציה,-
"כמו כל בלוק בשפת פייתון,",הוא
פונקציה מסיימת את החישוב שבה,ומחזירה
"במקרה האחרון, או כאשר פקודת",return
פונקציה עשויה להסתיים גם על,ידי
קריאה לפונקציה מתבצעת על ידי,כתיבת
העברת הפרמטרים לפונקציה מתבצעת באמצעות,מנגנון
אי לכך ניתן לשנות בתוך,גוף
"הקוד הבא, לדוגמה, מנסה לבצע",החלפה
"קריאה לפונקציה על משתנים a,",b
שיטת העברה זאת נקראת גם,"""העברה"
"ניתן לכתוב ביטוי המגדיר פונקציה,",למשל
התחביר עבור ביטוי כזה הוא,מהצורה:
"למשל, על מנת לעבור על",כל
פונקציות למבדא שונות מפונקציות רגילות,בכך
אי אפשר להגדיר משתנים חדשים,בתוך
"פונקציות למבדא, כמו פונקציות מקוננות,",הן
התמיכה בפונקציות למבדא בפייתון היא,הבסיס
כל פונקציה שבה מוחזר ערך,בעזרת
קריאה אליה מחזירה אובייקט המשמש,כאיטרטור.
בקריאה ראשונה לאובייקט מוחזר הערך,שמופיע
"כאשר הפונקציה ""חוזרת"" (בעזרת return",או
השימוש הפשוט ביותר הוא בלולאת,"for,"
להלן דוגמת קוד לפונקציה מחוללת,המחזירה
ניתן לשים לב לכך שההבדל,בינה
על מנת להדפיס את מספרי,פיבונאצ'י
צורת תחביר זו של השפה,(הקשורה
"למשל, בהינתן הגדרת fib לעיל,",על
ישנן צורות מורכבות יותר של,תחביר
על מנת לקבל את כל,ריבועי
"למשל, הביטוי להלן יוצר את",רשימת
כל אופרטור מתמטי\\לוגי ניתן לשלב,יחד
"השפה תומכת בתכנות מונחה-עצמים, אך",איננה
כך ניתן לכתוב תכניות קצרות,"ופשוטות,"
"כל ישות בשפה היא אובייקט,",ובפרט
"ישנה אפשרות להורשה מרובה, וכל",מחלקה
"אין בפייתון מחלקות אבסטרקטיות, אך",ניתן
אין בפייתון ממשקים כמו בג'אווה,כיוון
"השפה תומכת בירושה מרובה, על",אף
האלגוריתם המשמש לפתירת מקרים בהם,המזהים
השפה מאפשרת הגדרת שדות נתונים,-
"ניתן לגשת לשדות באופן ישיר,",ואין
"שיטות שייכות באופן בלעדי למחלקה,",כלומר
"בהצהרה של שיטה, אם מתבצעת",קריאה
ניתן לבצע קריאה כזאת גם,באופן
שתי הקריאות ל-A.foo שקולות במקרה,"זה,"
"בניגוד לשפות מונחות-עצמים אחרות, ניתן",להוסיף
"למעשה, כל האמור הוא התעסקות",עם
וכל זה נכון גם לגבי,מודולים).
אין בפייתון שיטה המהווה בנאי,"(Constructor),"
"באופן דומה, אין שיטה המשמשת",כהורס
"פייתון תומכת בהעמסת אופרטורים, וכן",בירושה
"בניגוד לשפות מונחות-עצמים רבות אחרות,",בפייתון
מעצבי השפה מניחים שאם לא,צריך
על מנת לסמן ששדה או,שיטה
על אף שהשפה עצמה לא,מכילה
ישנם לדוגמה מודולים אשר מאפשרים,שימוש
אחד השימושים המקובלים הוא לכתיבת,תוכנות
מהירות הפיתוח מאפשרת ביצוע משימה,כזאת
הרחבה של הרעיון הזה הוא,בכתיבת
כאשר עולה דרישה לתוכנה מסוג,"חדש,"
לאחר הוכחת הישימות עוברים לפיתוח,בשפות
"עם זאת, אין פירוש הדבר",שלא
פייתון היא אחת משלוש השפות,העיקריות
"בין השאר, הגרסה הראשונה של",הcrawler
"בנוסף, באפריל 2008 הזמינה גוגל",גולשים
"הרישיון הציבורי הכללי של גנו,",הידוע
ה-GPL הוא בראש ובראשונה רישיון,"Copyleft,"
"תחת הפילוסופיה הזאת, ה-GPL מעניק",לתוכנת
מטרת הרישיון היא לשמור על,החופש
למקבל תוכנה בעלת רישוי שכזה,יש
הרישיון לא מונע מכירה של,תוכנה.
רישיון תוכנה חופשית בהכרח יתיר,שימוש
אולם באותה מידה אין אפשרות,למנוע
ה־GPL מחייב לשחרר את הקוד,רק
"כמו כן, אם חברה מסוימת",עושה
"על מנת למנוע בלבול, נוסח",הרישיון
הרישיון שמור בזכויות יוצרים שאוסרות,לשנות
"אך לפי ה-FAQ של GPL,",כל
הרישיון הציבורי הכללי המוקטן של,גנו
הרישיון לשימוש חופשי במסמכים של,גנו
Affero General Public License (בקיצור:,GNU
לרישיון היו עם השנים שלוש,גרסאות
"שלוש הגרסאות דומות במטרותיהן, אולם",שונות
קרן התוכנה החופשית ממליצה לכתוב,על
הגרסה הראשונה של הרישיון נכתבה,בשנת
היא כיום כמעט לא בשימוש,(פרט
"שנתיים לאחר מכן, בשנת 1991,",נכתבה
גרסה זו תיקנה מספר בעיות,טכניות.
בשנת 1999 יצאה גרסה 2.1,של
שתי הגרסאות הללו נפוצות בשימוש,עד
גרסה 3 נכתבה באמצע שנות,"ה־2000,"
"הגרסה החדשה כללה תיקונים רבים,",כגון
LGPL ו־AGPL (גרסאות 3 של,שניהם)
אולם היו גם כמה שינויים,שנויים
בפרט החמרת היחס למגבלות פטנטים,ולמגבלות
"כל הקוד של פרויקט גנו,",וכן
אחרים (כגון רוב מפתחי ליבת,לינוקס
"דגל אספרנטו אֶסְפֶּרַנְטוֹ (Esperanto, )",היא
אספרנטו היא כיום השפה המדוברת,ביותר
"ב-1887, לאחר למעלה מעשר שנות","עבודה,"
הוא התכוון ליצור שפה קלה,ללימוד
דוברי אספרנטו רבים עדיין רוצים,"בכך,"
"כיום, אלפי אנשים משתמשים באספרנטו",באופן
"על החוברת ששמה ""השפה הבינלאומית",–
הבלשנות מזהה שני גורמים עיקריים,בהתפתחותה
"גורמי פירוד: גאוגרפי, כלכלי-חברתי (כיתתי,",מעמדי).
"גורמי איחוד: הקידמה הטכנית, פיתוח",אמצעי
התהוות השפה הבינלאומית אספרנטו היא,תוצאה
בתהליך זה קם מספר רב,של
זמנהוף היה הראשון מבין יוצרי,השפות
"יתר על כן, במשך 30",שנה
"הנאצים החרימו את האספרנטו, סגרו",בהדרגה
"ב""מיין קאמפף"" הגדיר היטלר את",השפה
למרות התלהבות והתחלה חיובית לאספרנטו,תחת
בשנת 1940 הוציאו הנאצים להורג,בוורשה
קביעת העקרונות והנורמות של השפה,הבינלאומית
אלה נבחרים לתקופה של 9,"שנים,"
עם חברי האקדמיה נמנה עמרי,ונדל
הדקדוק של שפת אספרנטו פשוט,יחסית
אוצר המילים הבסיסי מבוסס על,מספר
"משום כך, שפת אספרנטו קלה",יותר
"בדרך כלל, כמה חודשים של",לימוד
האלפבית של אספרנטו מבוסס על,האלפבית
"בדיבור, כבכתב, תפקידה התחבירי של",כל
זאת באמצעות הצמדת הסיומת התחבירית,למלה
is/as/os/us הטיית הפועל לפי הזמנים:,"עבר,"
אם אין מילת יחס לפניו,אז
יש ראיות לכך שלימוד אספרנטו,לפני
"באחד המחקרים (Williams 1965), קבוצת",תלמידי
בתום התקופה נמצא שהם הגיעו,לשליטה
אספרנטו משמשת בכמה תוכנות תרגום,כשפת
כיוון שדוברי אספרנטו פזורים בכל,"העולם,"
ההערכות נעות בין מאות אלפים,עד
לפי מחקר של פרופסור סידני,קולברט
המחקר נערך לא רק בקרב,דוברי
"בנוסף, יש כמה מאות עד",אלפי
"בהאא אוללה, מייסד האמונה הבהאית,",קבע
"בנו וממשיכו עבדול בהאא, אשר",התוודע
כיוון שבחירה זו לא בוצעה,"בינתיים,"
אספרנטו ממלאת תפקיד ניכר גם,בפלג
בסין העממית עודדה הממשלה את,השימוש
סיפורים של שלום עליכם תורגמו,מיידיש
ארגון הסופרים הבינלאומי PEN קבע,שאספרנטו
"בשנת 1985, ביוזמת טיבור סקלי,",שהיה
אספרנטו נהגית בדיוק כפי שהיא,"נכתבת,"
"סדר המילים במשפט גמיש למדי,",למעשה
תקווה עולמית - Monda espero,(מוֹנְדַּה
אני אוהב אותך - Mi,amas
חבֵר יפה - bela amiko,(בֵּלַה
כוכב ירוק - Verda stelo,(וֵרְדַּה
לילה טוב - Bonan nokton,(בּוֹנַן
בתיאבון - Bonan apetiton (בּוֹנַן,אַפֵּטִיטוֹן).
מלחמה ושלום - Milito kaj,paco
חתול ועכבר - kato kaj,muso
קיומם של דוברי אספרנטו מלידה,הוא
הדוברים הילידיים מתחלקים לארבע קבוצות,מבחינת
בישראל ידוע על מספר ילדים,שספגו
כמה מהם דוברים את השפה,באופן
פעילות אספרנטו בארץ ישראל קיימת,"מ-1908,"
פעילות רציפה של אספרנטו החלה,"ב-1924,"
האישים הבולטים היו בראש ובראשונה,נתן
באוגוסט 1967 התקיים בישראל הקונגרס,העולמי
"בישראל דוברים רבים של השפה,",ומתקיימת
"קיימת אגודה לדוברי אספרנטו, הנקראת",האגודה
האגודה מקיימת קורסי לימוד ברמות,"שונות,"
האגודה מוציאה את כתב העת,"""Israela"
פעילות אספרנטו בישראל נערכת בשלב,זה
"בשנת 2000, לקראת הכינוס העולמי",השנתי
בשנת 2007 חגגה האספרנטו 120,שנים
לקראת שנה זו הנפיק השירות,הבולאי
"בשנת 2012 נפטר יוסף שמר,",מהדמויות
רשת האינטרנט משמשת מקום התוודעות,"לשפה,"
יש הטוענים כי האינטרנט חוללה,"""נס"
"בהשוואה לשפות טבעיות, האספרנטו ""חיה","ונושמת"""
"ניתן ללמוד על כך, בין","היתר,"
אספרנטו יכולה לשמש גם ככלי,עזר
פותחו מספר אבות-טיפוס של תוכנת,תרגום
השימוש באספרנטו יכול להקל על,שילוב
אספרנטו מתאימה במיוחד לשימוש זה,בשל
תחבירה מאפשר תרגום ישיר משפת,המקור
"דוגמה - ""אני אוהב אותך","בעדינות"":."
צורות 2 ו-3 באספרנטו שקולות,זו
"La Espero (""התקווה"") - המנון",האספרנטו.
הומארניסמו - תורת ההומניזם של,"זמנהוף,"
פטר גינז - נער מוכשר,"מצ'כיה,"
אילן רמון לקח ציור שלו,לחלל.
דולצ'מר - להקת רוק והיפ-הופ,שכל
מוֹנסוּן הוא מונח במטאורולוגיה המתייחס,לרוב
